,Hz,Threshold,Species,group,havescan
1,2,78.63636,Chicken,Galloanserae,Have scan data for species
2,4,70.928856,Chicken,Galloanserae,Have scan data for species
3,8,61.93676,Chicken,Galloanserae,Have scan data for species
4,16,55,Chicken,Galloanserae,Have scan data for species
5,32,46.264824,Chicken,Galloanserae,Have scan data for species
6,64,40.355732,Chicken,Galloanserae,Have scan data for species
7,125,29.3083,Chicken,Galloanserae,Have scan data for species
8,250,19.03162,Chicken,Galloanserae,Have scan data for species
9,500,12.608696,Chicken,Galloanserae,Have scan data for species
10,1000,7.4703555,Chicken,Galloanserae,Have scan data for species
11,2000,1.5612649,Chicken,Galloanserae,Have scan data for species
12,3000,5.41502,Chicken,Galloanserae,Have scan data for species
13,4000,13.379447,Chicken,Galloanserae,Have scan data for species
14,5600,23.39921,Chicken,Galloanserae,Have scan data for species
15,8000,75.55336,Chicken,Galloanserae,Have scan data for species
16,2,100.21739,Rock dove,Columbifores (Columbaves),Have scan data for species
17,4,88.91304,Rock dove,Columbifores (Columbaves),Have scan data for species
18,8,77.094864,Rock dove,Columbifores (Columbaves),Have scan data for species
19,16,67.588936,Rock dove,Columbifores (Columbaves),Have scan data for species
20,32,62.707508,Rock dove,Columbifores (Columbaves),Have scan data for species
21,64,53.4585,Rock dove,Columbifores (Columbaves),Have scan data for species
22,125,41.640316,Rock dove,Columbifores (Columbaves),Have scan data for species
23,250,28.280632,Rock dove,Columbifores (Columbaves),Have scan data for species
24,500,22.371542,Rock dove,Columbifores (Columbaves),Have scan data for species
25,1000,13.379447,Rock dove,Columbifores (Columbaves),Have scan data for species
26,2000,13.893281,Rock dove,Columbifores (Columbaves),Have scan data for species
27,3000,14.664032,Rock dove,Columbifores (Columbaves),Have scan data for species
28,4000,15.434783,Rock dove,Columbifores (Columbaves),Have scan data for species
29,5600,47.549408,Rock dove,Columbifores (Columbaves),Have scan data for species
30,8000,82.2332,Rock dove,Columbifores (Columbaves),Have scan data for species
31,8,96.7,Budgerigar,Australaves,Have scan data for species
32,16,90.4,Budgerigar,Australaves,Have scan data for species
33,32,77.1,Budgerigar,Australaves,Have scan data for species
34,63,66.8,Budgerigar,Australaves,Have scan data for species
35,125,49.6,Budgerigar,Australaves,Have scan data for species
36,250,30.3,Budgerigar,Australaves,Have scan data for species
37,500,20.8,Budgerigar,Australaves,Have scan data for species
38,1000,8.6,Budgerigar,Australaves,Have scan data for species
39,2000,1.9,Budgerigar,Australaves,Have scan data for species
40,3000,1.1,Budgerigar,Australaves,Have scan data for species
41,4000,4.6,Budgerigar,Australaves,Have scan data for species
42,5600,16.4,Budgerigar,Australaves,Have scan data for species
43,8000,68.2,Budgerigar,Australaves,Have scan data for species
44,10000,82.8,Budgerigar,Australaves,Have scan data for species
45,16,90,Mallard duck,Galloanserae,Have scan data for species
46,32,80,Mallard duck,Galloanserae,Have scan data for species
47,64,60.7,Mallard duck,Galloanserae,Have scan data for species
48,125,45.5,Mallard duck,Galloanserae,Have scan data for species
49,250,35.1,Mallard duck,Galloanserae,Have scan data for species
