,X,Birdtree,Binomial,Order,Family,Species,Code,Category,Status,Skull.width..mm.,Head.mass..g.,Umbo_distancetoTMplane,totalEClength,Behind.TM,totalECDlength,meanTMangle,TMtotalarea,FPtotalarea,CAtotalarea,RWtotalarea,dis_coltip_TMcentroid,Columella.length.mm,Columella.volume.mm3,area_ratio,bodymass_lit,spp_audio,audio_relation
1,1,Gallus gallus,Gallus_domesticus,Galliformes,Phasianidae,Chicken,Chicken01,Terrestrial,Scanned,26.73,NA,NA,2.519827,NA,5.748305,NA,NA,NA,NA,NA,NA,2.61,0.424,NA,904,Gallus_domesticus,Yes
2,2,Spheniscus demersus,Spheniscus_demersus,Sphenisciformes,Spheniscidae,African penguin,AP253,Pursuit diving,Scanned,48.51,286.12,0.5578158,2.7141463,740.65,6.3185271,11.1814942,24.5307031,1.0458214,3.1677924,5.3165826,1.8835547,5.282,0.5473,23.45592001,3135,NA,NA
3,3,Larus hartlaubii,Chroicocephalus_hartlaubii,Charadriiformes,Laridae,Hartlaub's gull,H414,Surface foraging,Scanned,22.17,21.49,0.6387115,1.6285463,399.42,3.7292626,17.7525684,12.8811013,0.4708316,0.4603956,1.4555714,1.0448887,1.8047,0.142,27.35819197,292,NA,NA
4,4,Puffinus griseus,Ardenna_grisea,Procellariiformes,Procellariidae,Sooty shearwater,SW01,Pursuit diving,Scanned,30.52,NA,0.5687735,1.7550923,231.33,4.14108,14.8505159,14.1101799,0.8797251,3.0077953,2.6428105,1.1576382,2.9779,0.37039,16.0393058,787,NA,NA
5,5,Larus dominicanus,Larus_dominicanus,Charadriiformes,Laridae,Kelp gull,K151,Surface foraging,Scanned,40.95,62.3,1.017922,2.537805,3236.84,5.237897,16.261305,36.053742,0.97365,1.818927,2.394297,2.027716,3.8787,0.430434,37.02946849,936.5,NA,NA
6,6,Morus capensis,Morus_capensis,Suliformes,Sulidae,Gannet,G045,Pursuit diving,Scanned,47.58,275,0.592118,1.5276351,7067.93,6.6173265,12.0753945,27.8116976,1.1589345,3.511894,2.2928683,1.0647901,8.6,1.029,23.99764404,2643.5,NA,NA
7,7,Phalacrocorax capensis,Phalacrocorax_capensis,Suliformes,Phalacrocoridae,Cape Cormorant,CC209,Pursuit diving,Scanned,27,71.26,0.3453295,0.79324334,372.35,5.08996474,13.0261082,9.22449752,0.44051429,2.72894333,2.03706372,0.45345296,3.8696,0.266328,20.94029122,1217,Phalacrocorax_capensis,Congener
8,8,Phoenicopterus roseus,Phoenicopterus_roseus,Phoenicopteriformes,Phoenicopteridae,Greater flamingo,Flamingo01,Surface foraging,Scanned,32.43,NA,0.897117,2.1548053,1379.64,5.7269092,18.206483,23.9107099,1.114212,4.407708,3.3531699,1.706508,3.31,0.448037,21.45974904,3035,NA,NA
9,9,Procellaria aequinoctialis,Procellaria_aequinoctialis,Procellariiformes,Procellariidae,White-chinned petrel,WCP03,Pursuit diving,Scanned,43.39,NA,0.6965724,2.3398132,NA,6.2084629,15.854649,19.97404,1.0531436,3.1105181,2.7006765,2.0672644,4.7777,0.612506,18.9661125,1213,NA,NA
10,10,Chionis minor,Chionis_minor,Charadriiformes,Chionidae,Lesser Sheathbill,SB-01-2019,Terrestrial,Scanned,21.72,NA,0.487271,1.5954347,751.71,4.6720255,13.9758777,12.2568029,0.4497441,2.3852071,1.5378967,1.2606874,1.75,0.104,27.25283756,601.5,NA,NA
11,11,Macronectes halli,Macronectes_halli,Procellariiformes,Procellariidae,Northern giant petrel,NGP-01-2019,Surface foraging,Scanned,53.82,271.5,0.5378209,1.8362029,5937.11,6.5958948,7.9291175,43.0391185,1.3891691,6.155614,3.6991239,1.7127285,5.6,0.851,30.98191466,4185,NA,NA
12,12,Bucorvus abyssinicus,Bucorvus_leadbeateri,Bucerotiformes,Bucorvidae,Southern ground hornbill,GHB01,Terrestrial,Scanned,69.06,NA,0.8311657,3.9816637,NA,8.3393286,8.9851082,88.3744713,1.9769213,0.3481421,10.2280263,3.5247887,6.267897,0.897199875,44.70308014,3767.5,NA,NA
13,13,Aethopyga siparaja,Cinnyris_chalybeus,Passeriformes, Nectariniidae,Southern double-collared sunbird,DCSB01,Terrestrial,Scanned,11,NA,0.31907899,0.61324873,47.16,1.99507714,13.58151162,5.35102153,0.21222748,0.03260038,0.3605546,0.61367124,0.895437,0.018883125,25.21361291,7.85,NA,NA
14,14,Nectarinia violacea,Anthobaphes_violacea,Passeriformes, Nectariniidae,Orange-breasted sunbird,OBSB01,Terrestrial,Scanned,11.95,NA,0.48479427,0.74179647,NA,2.36129042,23.28390396,4.48803024,0.257517,0.02360667,0.38474141,0.46142391,0.930814,0.023166185,17.42809306,9.4,NA,NA
15,15,Columba livia,Columba_livia,Columbiformes,Columbidae,Rock dove,RD-01-2019,Terrestrial,Scanned,21.05,13.9,0.73153049,1.97001929,NA,3.96968588,16.13361871,21.18606758,1.29870729,0.05303087,2.76414036,1.18204044,2.29,0.187,16.31319678,354.5,Columba_livia,Yes
16,16,Struthio camelus,Struthio_camelus,Struthioniformes,Struthionidae,Common ostrich,Ostrich40,Terrestrial,Scanned,89.99,625,2.995847,5.9591383,30014.6,5.5925217,25.2935032,138.1185454,2.0086641,0.3834238,12.1335813,3.8784566,7.711,1.5078,68.7613949,111000,NA,NA
17,17,Dendropicos elachus,Dendropicos_griseocephalus,Piciformes,Picidae,Olive woodpecker,OWP-01-2019,Terrestrial,Scanned,17.36,5.46,0.56022418,1.09728848,141.84,3.20378061,18.14768973,9.35326499,0.52834288,0.01736402,0.79376702,0.93085335,1.35,0.0559,17.70302079,41,NA,NA
18,18,Gavia immer,Gavia_immer,Gaviiformes,Gaviidae,Common loon,Gavia morphosource,Pursuit diving,Scan from digital repository,48.03,NA,1.0632188,2.2366542,509.74,6.5340743,18.6720129,31.5370223,1.3625996,7.2703231,3.9506427,1.5204364,4.3232,0.7328,23.14474648,4980,NA,NA
19,19,Alca torda,Alca_torda,Charadriiformes,Alcidae,Razorbill,Atorda morphosource,Pursuit diving,Scan from digital repository,33.99,NA,0.6753036,1.5078332,61.18,4.9428527,21.9042626,9.5335629,0.5724759,2.4472016,2.2206545,0.9803995,3.477893,0.199146087,16.65321265,760,NA,NA
20,20,Phoebastria nigripes,Phoebastria_nigripes,Procellariiformes,Procellariidae,Black-footed albatross,Pnigripes morphosource,Surface foraging,Scan from digital repository,55,NA,0.1796347,1.8480363,NA,5.4650597,3.3337568,44.6648063,1.0221443,6.3433136,4.340926,0.9580918,8.324507,1.18948448,43.69716321,3195,NA,NA
21,21,Morus bassanus,Morus_bassanus,Suliformes,Sulidae,Northern gannet,Mbassanus morphosource,Pursuit diving,Scan from digital repository,53.85,NA,0.7966679,1.8449724,10559.51,7.24,16.0579821,23.8315715,1.1459628,4.0516295,4.299071,1.0469647,8.806629,1.379404183,20.79611267,2999.5,NA,NA
22,22,Sterna caspia,Hydroprogne_caspia,Charadriiformes,Laridae,Caspian tern,Caspian tern morphosource,Surface foraging,Scan from digital repository,35.8,NA,0.9834689,2.4094501,2087.21,5.2743765,19.6341313,22.3751893,0.8580543,1.6084076,NA,1.9054867,3.381428,0.153852934,26.0766589,655,NA,NA
23,23,Sterna vittata,Sterna_vittata,Charadriiformes,Laridae,Antarctic tern,TOO2,Surface foraging,Scanned,20.69,17.8,0.4354297,1.2186361,NA,3.3993236,17.7676288,5.6962694,0.3636737,0.6055259,1.6876551,0.9358734,1.763997,0.114439142,15.66313264,139,NA,NA
24,24,Phalacrocorax africanus,Microcarbo_africanus,Suliformes,Phalacrocoridae,Reed cormorant,RC-01-2019,Pursuit diving,Scanned,23.95,25.19,0.40549832,0.79562114,25.27,4.42470113,12.59329138,10.47778084,0.3457463,2.34323459,2.2249812,0.84413023,2.8,0.234,30.3048242,545,NA,NA
25,25,Phalacrocorax coronatus,Microcarbo_coronatus,Suliformes,Phalacrocoridae,Crowned cormorant,CRC003,Pursuit diving,Scanned,25,31.3,NA,NA,NA,4.7050446,NA,9.147731,0.4137757,1.6677983,NA,NA,3.178577,0.262136,22.10794641,763,NA,NA
26,26,Alopochen aegyptiaca,Alopochen_aegyptiaca,Anseriformes,Anatidae,Egyptian goose,EG-01-2019,Terrestrial,Scanned,32.9,54.8,0.8459246,1.8693384,878.17,5.0743286,18.2147447,22.2919745,0.9385405,1.0916206,2.9684767,1.6431164,2.85,0.167,23.75174486,1873,NA,NA
27,27,Streptopelia capicola,Streptopelia_capicola,Columbiformes,Columbidae,Cape turtle dove,TD01-2019,Terrestrial,Scanned,19.27,11,0.85059737,1.66676993,345.83,3.71530889,22.18742311,14.72236642,0.97442469,0.04601553,2.06989405,1.03918073,2.015186,0.122033427,15.1087781,142,NA,NA
28,28,Pterodroma mollis,Pterodroma_mollis,Procellariiformes,Procellariidae,Soft-plumaged petrel,SPP-01,Surface foraging,Scanned,20.65,23.7,0.1882361,1.828233,NA,3.8179552,5.8046326,11.0380149,0.6350023,1.8360282,1.7933646,1.5229845,2.398826,0.162448487,17.38263767,312,NA,NA
29,29,Catharacta antarctica,Stercorarius_antarcticus,Charadriiformes,Stercoraridae,Brown skua,BS-01-SANCCOB,Surface foraging,Scanned,43.115,74,1.132284,2.820594,3607.77,5.813335,15.53885,45.475991,1.054286,3.00173,3.063764,2.393596,4.991774,0.507392125,43.13439712,1539,NA,NA
30,30,Pterodroma incerta,Pterodroma_incerta,Procellariiformes,Procellariidae,Atlantic petrel,Atpet-01-2019,Surface foraging,Scanned,35.11,58.6,0.5691122,2.0107436,210.87,4.76371,19.6045826,9.2621301,0.8233286,2.9459766,1.7389262,1.3702782,3.29,0.242,11.2496154,520,NA,NA
31,31,Pygoscelis adeliae,Pygoscelis_adeliae,Sphenisciformes,Spheniscidae,Adelie penguin,ADP-01-2019,Pursuit diving,Scanned,37.45628342,137.1,0.4030811,2.456272,520.2390366,6.952721,11.4600309,13.5040879,0.7844083,3.3928805,7.2591326,1.3659801,5.182,0.4702,17.21563617,4850,NA,NA
32,32,Pachyptila desolata,Pachyptila_desolata,Procellariiformes,Procellariidae,Antarctic prion,AP-01-2011,Surface foraging,Scanned,20.75039344,16,0.4944635,1.2854291,NA,3.0092669,19.1922366,6.6268907,0.2968042,1.3277472,0.9944238,0.6209404,1.773548,0.056963867,22.3274829,147,NA,NA
33,33,Halobaena caerulea,Halobaena_caerulea,Procellariiformes,Procellariidae,Blue Petrel,BP-01-2011,Surface foraging,Scanned,23.64,19.6,0.5529148,1.3915919,73.85,3.1864005,21.520346,6.6450801,0.5568343,1.3627832,1.1902311,0.8119964,2.15,0.1023,11.93367596,202,NA,NA
34,34,Pelecanoides urinatrix,Pelecanoides_urinatrix,Procellariiformes,Procellariidae,Common diving petrel,CDP-01-2019,Pursuit diving,Scanned,20.78405229,14.5,NA,NA,NA,2.8358205,NA,NA,0.3754954,0.9267609,NA,NA,1.5257,0.053459,NA,141,NA,NA
35,35,Pygoscelis antarcticus,Pygoscelis_antarcticus,Sphenisciformes,Spheniscidae,Chinstrap penguin,CP-01-2019,Pursuit diving,Scanned,52.6697561,211.3,0.7550078,2.0153796,73.73786567,6.9731886,20.1470988,14.6468794,1.3314908,1.1336589,7.7851623,1.1994877,5.84,0.987478301,11.00036095,4155.5,NA,NA
36,36,Somateria mollissima,Somateria_mollissima,Anseriformes,Anatidae,Common Eider,Eider01,Pursuit diving,Scanned,32.55130814,101.9,0.337055,1.7584826,805.9455802,5.3374497,8.8239846,14.5267152,1.0329496,2.0698268,2.8912287,1.3022874,2.7979,0.374829,14.06333397,2066.5,NA,NA
37,37,Pygoscelis papua,Pygoscelis_papua,Sphenisciformes,Spheniscidae,Gentoo penguin,GP-01-2019,Pursuit diving,Scanned,71.3365493,290.5,0.4822642,3.120224,2043.23259,7.125678,10.8121582,18.2093691,1.3420564,0.9585321,6.5292833,2.5760105,4.67,0.764,13.5682592,5950,NA,NA
38,38,Larus marinus,Larus_marinus,Charadriiformes,Laridae,Great black-backed gull,GBBG01,Surface foraging,Scanned,49.56,176.3,0.7245044,2.5679778,5579.02,6.52167,11.5662503,40.602924,0.98858,1.8082917,2.7245681,2.5345219,4.82,1.291,41.07196585,1658.5,NA,NA
39,39,Cepphus grylle,Cepphus_grylle,Charadriiformes,Alcidae,Black guillemot,Guil01,Pursuit diving,Scanned,30.808,67.9,0.2883806,1.3592744,149.294398,4.9350441,8.4559079,10.2847078,0.5609009,3.2522032,2.7370037,1.2043721,2.8,0.123,18.33605152,378,NA,NA
40,40,Rissa tridactyla,Rissa_tridactyla,Charadriiformes,Laridae,Black-legged Kittiwake,KW01,Surface foraging,Scanned,30.84235294,41.3,0.2861476,1.2579813,852.4795984,3.732044,6.7540818,18.0102207,0.5552917,1.2008016,2.0332674,1.4647897,2.846265,0.186962404,32.43380137,377,NA,NA
41,41,Larus fuscus,Larus_fuscus,Charadriiformes,Laridae,Lesser black-backed gull,LBBG01,Surface foraging,Scanned,37.44,98.5,0.8288432,2.1508698,1486.29,5.0791775,16.3378255,25.6550178,1.0425242,1.9829092,4.3094347,1.571798,3.418143,0.462378689,24.60855854,715,NA,NA
